T=0.000000, H=0.000000
T=19.984625, H=1.952850
T=19.971504, H=1.904700
T=19.957318, H=1.861025
T=19.958613, H=1.826294
T=19.959717, H=1.789969
T=19.960845, H=1.757250
T=19.961565, H=1.726769
T=19.951504, H=1.699656
T=19.910538, H=1.698431
T=19.867346, H=1.697706
T=19.821495, H=1.699719
T=19.778544, H=1.698994
T=19.735712, H=1.698269
T=19.691399, H=1.700031
T=19.647647, H=1.699556
T=19.605171, H=1.698831
T=19.565104, H=1.697606
T=19.517842, H=1.700119
T=19.475714, H=1.699394
T=19.433707, H=1.698669
T=19.351068, H=1.697944
T=19.255626, H=1.699206
T=19.163903, H=1.698988
T=19.072228, H=1.698756
T=18.978773, H=1.698031
T=18.882898, H=1.699794
T=18.792955, H=1.698569
T=18.701039, H=1.697844
T=18.604290, H=1.700106
T=18.518273, H=1.698381
T=18.496582, H=1.699644
T=18.502580, H=1.699669
T=18.500915, H=1.698194
T=18.496015, H=1.699081
T=18.505818, H=1.699969
T=18.505776, H=1.699856
T=18.502217, H=1.699494
T=18.496746, H=1.697156
T=18.506277, H=1.697431
T=18.497529, H=1.698569
T=18.506993, H=1.699956
T=18.503551, H=1.698106
T=18.500397, H=1.699369
T=18.498709, H=1.697644
T=18.420981, H=1.699769
T=18.350297, H=1.699781
T=18.296418, H=1.698669
T=18.233064, H=1.696806
T=18.162482, H=1.698431
T=18.097856, H=1.696319
T=18.038388, H=1.698569
T=17.984591, H=1.699331
T=17.928226, H=1.697594
T=17.863106, H=1.699219
T=17.806973, H=1.697356
T=17.747484, H=1.699231
T=17.693340, H=1.697619
T=17.641074, H=1.699869
T=17.586943, H=1.697881
T=17.529629, H=1.699631
T=17.475668, H=1.693394
T=17.418017, H=1.670519
T=17.371320, H=1.647894
T=17.313945, H=1.624769
T=17.271581, H=1.602644
T=17.223843, H=1.579894
T=17.170652, H=1.556769
T=17.117737, H=1.533644
T=17.061158, H=1.510269
T=17.012774, H=1.487394
T=16.960597, H=1.464519
T=16.906586, H=1.441269
T=16.852884, H=1.418019
T=16.803636, H=1.395019
T=16.756893, H=1.372144
T=16.706046, H=1.349019
T=16.655453, H=1.326144
T=16.647915, H=1.305394
T=16.644829, H=1.288625
T=16.595149, H=1.298625
T=16.547169, H=1.308625
T=16.500816, H=1.318625
T=16.456025, H=1.328625
T=16.412732, H=1.338625
T=16.370875, H=1.348625
T=16.330397, H=1.358625
T=16.291243, H=1.368625
T=16.253361, H=1.378625
T=16.216700, H=1.388625
T=16.181212, H=1.398625
T=16.412093, H=1.409875
T=16.661081, H=1.419875
T=16.889638, H=1.423781
T=17.115794, H=1.427444
T=17.336118, H=1.431106
T=17.562482, H=1.434775
T=17.783053, H=1.438194
T=17.999031, H=1.442100
T=18.215219, H=1.445281
T=18.430509, H=1.448456
T=18.503747, H=1.457994
T=18.507662, H=1.470044
T=18.502403, H=1.483337
T=18.489987, H=1.499594
T=18.490297, H=1.510650
T=18.503066, H=1.521456
T=18.504074, H=1.533281
T=18.501906, H=1.537531
T=18.503623, H=1.542031
T=18.501469, H=1.546281
T=18.503177, H=1.550781
T=18.504875, H=1.555281
T=18.502736, H=1.559531
T=18.504427, H=1.564031
T=18.506106, H=1.568531
T=18.503982, H=1.572781
T=18.505654, H=1.577281
T=18.501309, H=1.581906
T=18.505208, H=1.586031
T=18.503110, H=1.590281
T=18.504766, H=1.594781
T=18.506413, H=1.599281
T=18.504329, H=1.603531
T=18.505968, H=1.608031
T=18.501704, H=1.612656
T=18.505528, H=1.616781
T=18.501288, H=1.621406
T=18.505093, H=1.625531
T=18.506708, H=1.630031
T=18.508314, H=1.634531
T=18.506270, H=1.638781
T=18.502085, H=1.643406
T=18.505837, H=1.647531
T=18.501675, H=1.652156
T=18.509011, H=1.656531
T=18.501270, H=1.660906
T=18.508568, H=1.665281
T=18.506561, H=1.669531
T=18.502452, H=1.674156
T=18.498366, H=1.678781
T=18.502047, H=1.682906
T=18.497984, H=1.687531
T=18.501647, H=1.691656
T=18.503209, H=1.696156
T=18.505600, H=1.697794
T=18.499522, H=1.698937
T=18.504631, H=1.699831
T=18.504119, H=1.698606
T=18.503167, H=1.698131
T=18.505933, H=1.699144
T=18.498807, H=1.699037
T=18.506384, H=1.698931
T=18.497964, H=1.700194
T=18.499626, H=1.699231
T=18.500812, H=1.698256
T=18.503579, H=1.699269
T=18.501251, H=1.698044
T=18.508909, H=1.700056
T=18.504127, H=1.699831
T=18.500546, H=1.698369
T=18.501179, H=1.699881
T=18.502841, H=1.698919
T=18.499223, H=1.699062
T=18.504649, H=1.699456
T=18.500182, H=1.698731
T=18.503073, H=1.698006
T=18.499872, H=1.699769
T=18.498925, H=1.699294
T=18.502157, H=1.698319
T=18.504920, H=1.699331
T=18.506588, H=1.698369
T=18.506491, H=1.698762
T=18.499358, H=1.698656
T=18.505634, H=1.699919
T=18.501184, H=1.699194
T=18.499700, H=1.698837
T=18.503055, H=1.699731
T=18.504186, H=1.699006
T=18.508894, H=1.698281
T=18.507944, H=1.697806
T=18.509213, H=1.698950
T=18.503135, H=1.700094
T=18.502560, H=1.698994
T=18.500177, H=1.697894
T=18.504319, H=1.699656
T=18.502508, H=1.698319
T=18.504896, H=1.699956
T=18.502200, H=1.699356
T=18.499820, H=1.698256
